数值,数量
1,11
2,245
3,4979
4,60140
5,29671
6,67791
7,30532
8,999
9,56
10,16
11,14
12,8
13,13
14,9
15,8
16,10
17,3
18,6
19,6
20,13
21,6
22,6
23,8
24,2
25,2
26,2
27,2
28,3
29,4
30,1
31,1
32,8
34,1
35,2
36,3
37,1
38,4
39,2
40,4
41,4
42,1
45,1
47,1
48,2
49,1
50,2
51,1
55,2
56,2
57,2
58,1
59,2
60,3
61,1
63,2
65,3
66,1
68,3
70,2
73,2
74,1
76,2
77,1
78,2
80,3
81,1
82,2
83,2
84,2
85,2
86,1
87,2
88,1
90,1
92,1
93,4
94,4
95,1
96,1
97,3
98,1
101,1
103,2
104,3
105,1
107,1
108,1
111,1
113,1
115,2
116,1
118,1
119,1
120,1
121,1
122,3
123,1
124,1
126,1
127,2
128,4
131,2
134,1
136,1
137,2
145,5
146,1
148,1
149,1
151,2
152,3
153,1
154,3
155,1
156,1
157,1
161,1
165,2
167,3
170,2
171,2
172,1
173,1
174,1
175,2
177,1
178,1
180,2
181,2
182,3
183,2
184,2
185,1
187,1
190,2
192,2
194,3
195,2
196,4
197,1
198,1
199,1
200,1
201,4
202,4
203,1
204,1
207,1
208,1
209,3
210,3
211,2
212,2
213,2
214,1
215,1
216,1
217,3
218,3
220,3
222,5
224,3
225,3
226,2
227,1
228,3
229,2
230,6
231,7
232,2
233,4
234,2
235,4
236,4
237,6
238,7
239,9
240,6
241,6
242,6
243,8
244,9
245,12
246,7
247,16
248,16
249,19
250,23
251,29
252,51
253,79
254,252
255,1191
