数值,数量
0.003798169,1
0.00390657,1
0.003940334,1
0.0039524753,1
0.0041049,1
0.004194488,1
0.0042037303,1
0.0042563532,1
0.004262593,1
0.0044935904,1
0.004527832,1
0.004599322,1
0.004758078,1
0.004794079,1
0.0048394073,1
0.004900534,1
0.0051070857,1
0.005113631,1
0.0053709396,1
0.0054243905,1
0.0054395534,1
0.0054682586,1
0.0054917964,1
0.0055034882,1
0.0055565415,1
0.005567697,1
0.005747603,1
0.005763586,1
0.0057911673,1
0.005809864,1
0.0058287997,1
0.005852466,1
0.005909442,1
0.0059454488,1
0.0059673125,1
0.0061362158,1
0.0061435346,1
0.006178617,1
0.0062126555,1
0.0062287324,1
0.0062333797,1
0.0062499866,1
0.006328574,1
0.0063573252,1
0.0063611157,1
0.0064024082,1
0.006430078,1
0.0064364215,1
0.006468412,1
0.0064700656,1
0.006481201,1
0.0064865923,1
0.006497476,1
0.006510483,1
0.00653339,1
0.0065691704,1
0.006638052,1
0.006656861,1
0.006703282,1
0.006770115,1
0.0068893284,1
0.007012139,1
0.007041544,1
0.0070498753,1
0.007062122,1
0.0071237027,1
0.0071295677,1
0.007133533,1
0.0071736462,1
0.0071942676,1
0.007216428,1
0.0072541838,1
0.007255263,1
0.007321452,1
0.0073293536,1
0.007336094,1
0.007336521,1
0.007353283,1
0.0073681297,1
0.0073763686,1
0.007390085,1
0.007434143,1
0.0074620214,1
0.007484043,1
0.0075082197,1
0.0075096874,1
0.007548532,1
0.0075511676,1
0.007566925,1
0.0075859344,1
0.007605717,1
0.0076173455,1
0.007673179,1
0.0076732007,1
0.007688943,1
0.0077030705,1
0.0077044587,1
0.0077119567,1
0.0077293403,1
0.007738405,1
0.007762019,1
0.007765817,1
0.0077749174,1
0.007778336,1
0.0077992226,1
0.007828396,1
0.007880265,1
0.007903694,1
0.00791122,1
0.007916737,1
0.007935006,1
0.007942508,1
0.007991108,1
0.007993227,1
0.008005808,1
0.008026701,1
0.008077288,1
0.008081572,1
0.008090995,1
0.008105568,1
0.008111228,1
0.008153962,1
0.00819163,1
0.008204381,1
0.00820806,1
0.008260389,1
0.008267804,1
0.0082791345,1
0.008317983,1
0.008335572,1
0.008357365,1
0.008360944,1
0.008365506,1
0.008411921,1
0.008416832,1
0.008442588,1
0.008463403,1
0.008485619,1
0.008488598,1
0.008502216,1
0.008507456,1
0.0085252905,1
0.008528031,1
0.008535525,1
0.008537673,1
0.008573434,1
0.008588091,1
0.0085987765,1
0.008614617,1
0.008620715,1
0.008627846,1
0.008666595,1
0.0086845895,1
0.008722479,1
0.00873979,1
0.008752234,1
0.008769094,1
0.008774162,1
0.008787519,1
0.008800509,1
0.008819278,1
0.008819581,1
0.008822079,1
0.008829258,1
0.008839242,1
0.00885138,1
0.0088549685,1
0.008880897,1
0.0088951625,1
0.008895418,1
0.008898912,1
0.00890094,1
0.008928707,1
0.008929404,1
0.008931926,1
0.00896578,1
0.008968534,1
0.008973976,1
0.008997369,1
0.008997806,1
0.009027657,1
0.009046901,1
0.009048826,1
0.00905214,1
0.009062159,1
0.009067882,1
0.009074258,1
0.009082742,1
0.009095102,1
0.009132849,1
0.0091422675,1
0.00915127,1
0.009181849,1
0.009198694,1
0.0092304945,1
0.009233012,1
0.009237442,1
0.009278346,1
0.009279231,1
0.0092808325,1
0.009308363,1
0.009309667,1
0.009345872,1
0.009361973,1
0.009389145,1
0.00939167,1
0.009405939,1
0.009413324,1
0.009413683,1
0.009426026,1
0.009453806,1
0.009465904,1
0.009470628,1
0.009491693,1
0.0094954055,1
0.009497724,1
0.009553682,1
0.009554492,1
0.009589481,1
0.009592508,1
0.009627287,1
0.009628003,1
0.009633533,1
0.009644655,1
0.009652587,1
0.009665833,1
0.009671982,1
0.009694071,1
0.009694394,1
0.009715986,1
0.00971898,1
0.0097341,1
0.009752319,1
0.009753399,1
0.009780801,1
0.0097829,1
0.009784561,1
0.009804849,1
0.009806569,1
0.009831092,1
0.009844593,1
0.009884629,1
0.009886383,1
0.009890552,1
0.009896184,1
0.009922266,1
0.009929942,1
0.009932244,1
0.009933485,1
0.009957755,1
0.00996013,1
0.009965431,1
0.009973218,1
0.009976585,1
0.0099780215,1
0.009979677,1
0.0099833235,1
0.010010666,1
0.0100166425,1
0.010045504,1
0.010046673,1
0.010059432,1
0.010059739,1
0.01008504,1
0.01008911,1
0.010114503,1
0.01011924,1
0.010120031,1
0.010124308,1
0.010134209,1
0.010163302,1
0.010176539,1
0.010185511,1
0.010185589,1
0.010186774,1
0.010188387,1
0.010199936,1
0.01020447,1
0.010205783,1
0.010207593,1
0.01021482,1
0.01021939,1
0.010234623,1
0.010248785,1
0.010251111,1
0.010255658,1
0.0102582695,1
0.010264954,1
0.010266197,1
0.010277,1
0.010288474,1
0.010289582,1
0.010296286,1
0.010299478,1
0.010300785,1
0.01031615,1
0.0103253815,1
0.010326238,1
0.010329912,1
0.010339709,1
0.010343368,1
0.010353868,1
0.010359547,1
0.010367444,1
0.010378781,1
0.01039905,1
0.010412169,1
0.010429799,1
0.010459741,1
0.010460378,1
0.010469169,1
0.010485016,1
0.0105168,1
0.01052297,1
0.010524095,1
0.010552606,1
0.010564325,1
0.010572933,1
0.010573346,1
0.01057488,1
0.010583827,1
0.0105851,1
0.010596917,1
0.010659941,1
0.010684662,1
0.010687351,1
0.010699548,1
0.010705529,1
0.010715876,1
0.010737685,1
0.010747367,1
0.010747796,1
0.010764125,1
0.01076929,1
0.0107730385,1
0.010775269,1
0.010776656,1
0.010779658,1
0.010790199,1
0.01080376,1
0.010809829,1
0.010811633,1
0.010816275,1
0.010821444,1
0.010823291,1
0.010829703,1
0.010850357,1
0.010871528,1
0.010875001,1
0.010875736,1
0.010879534,1
0.010885864,1
0.010890288,1
0.010905701,1
0.010907635,1
0.010910318,1
0.0109131485,1
0.010937184,1
0.010944822,1
0.010945,1
0.010945302,1
0.010949186,1
0.010974117,1
0.010980765,1
0.011009147,1
0.011013947,1
0.0110189365,1
0.011033248,1
0.011042942,1
0.011044154,1
0.011052783,1
0.011077601,1
0.011080338,1
0.011097215,1
0.011097406,1
0.0111021055,1
0.011102317,1
0.011106881,1
0.011107961,1
0.011114807,1
0.011130855,1
0.011140497,1
0.011154253,1
0.011157721,1
0.01116035,1
0.011164608,1
0.011165226,1
0.011179034,1
0.011179449,1
0.011186103,1
0.011187416,1
0.011191417,1
0.011208132,1
0.011222731,1
0.011237436,1
0.011242344,1
0.011268792,1
0.011283223,1
0.01130084,1
0.011329197,1
0.011341023,1
0.0113634,1
0.011374979,1
0.011375771,1
0.011377973,1
0.0113792755,1
0.0113828145,1
0.011396271,1
0.0114068175,1
0.011415164,1
0.011424193,1
0.011431602,1
0.011436772,1
0.011441528,1
0.011448469,1
0.01145335,1
0.011465918,1
0.01146606,1
0.0114825275,1
0.011483185,1
0.011488847,1
0.01149561,1
0.011502463,1
0.011508442,1
0.011512275,1
0.011512856,1
0.0115201045,1
0.011521191,1
0.011526169,1
0.011538916,1
0.011541293,1
0.011543825,1
0.011553296,1
0.011573057,1
0.011578433,1
0.011583623,1
0.011617762,1
0.011622108,1
0.011631233,1
0.011632852,1
0.011635437,1
0.011635682,1
0.011641941,1
0.01164254,1
0.011644672,1
0.011655593,1
0.011658317,1
0.011663009,1
0.011663788,1
0.011691428,1
0.011692018,1
0.011703152,1
0.01170391,1
0.011706946,1
0.011708577,1
0.011709895,1
0.011713916,1
0.011720552,1
0.011724644,1
0.011726925,1
0.011730561,1
0.011745369,1
0.011751689,1
0.011763618,1
0.011767501,1
0.011772978,1
0.011773123,1
0.011786582,1
0.011786594,1
0.011812677,1
0.011813882,1
0.011821455,1
0.0118276235,1
0.011829586,1
0.011830014,1
0.011839472,1
0.011883736,1
0.011890241,1
0.011900632,1
0.011901211,1
0.011924602,1
0.011929232,1
0.0119338855,1
0.0119677335,1
0.011972835,1
0.01197352,1
0.011974617,1
0.0119888885,1
0.011994389,1
0.011996081,1
0.0120041035,1
0.012006531,1
0.012006782,1
0.012039266,1
0.012042813,1
0.012044719,1
0.012045752,1
0.012050337,1
0.012052119,1
0.012072445,1
0.0120861055,1
0.012098168,1
0.012108544,1
0.012113291,1
0.012120455,1
0.012127114,1
0.01212922,1
0.012132864,1
0.012137967,1
0.012152538,1
0.012155597,1
0.012155667,1
0.012157058,1
0.012161162,1
0.012165291,1
0.012176654,1
0.012188714,1
0.01219191,1
0.012198667,1
0.01220842,1
0.012223787,1
0.012224917,1
0.012227377,1
0.012232229,1
0.012235321,1
0.012235367,1
0.012245849,1
0.012253477,1
0.012260994,1
0.012286182,1
0.012316729,1
0.01231694,1
0.012324565,1
0.012344738,1
0.012345174,1
0.012347411,1
0.012349861,1
0.012352888,1
0.012376091,1
0.012377071,1
0.012380873,1
0.012386872,1
0.012388149,1
0.012389684,1
0.012397153,1
0.012406343,1
0.0124067925,1
0.012408959,1
0.012431593,1
0.012437853,1
0.012449494,1
0.012455966,1
0.012462738,1
0.012464414,1
0.0124726435,1
0.012485687,1
0.012493118,1
0.012496597,1
0.01250895,1
0.012509989,1
0.012510727,1
0.012543806,1
0.012549072,1
0.012556302,1
0.012559175,1
0.012561774,1
0.012564805,1
0.012565262,1
0.012573963,1
0.012574178,1
0.01257539,1
0.012579577,1
0.012586764,1
0.0125944,1
0.012600311,1
0.012605131,1
0.012606008,1
0.012607666,1
0.012615039,1
0.012616182,1
0.012628122,1
0.012630242,1
0.012631965,1
0.012643137,1
0.012644885,1
0.012646826,1
0.012655235,1
0.01265777,1
0.012658108,1
0.012661731,1
0.012685806,1
0.012692278,1
0.012695729,1
0.012700087,1
0.012700246,1
0.012710556,1
0.012712835,1
0.012717188,1
0.012732709,1
0.012736085,1
0.012742707,1
0.012754924,1
0.012768956,1
0.012770138,1
0.012774169,1
0.012778276,1
0.012787735,1
0.012791027,1
0.012797422,1
0.012798958,1
0.012802805,1
0.012803183,1
0.012806602,1
0.012809301,1
0.012812122,1
0.012817928,1
0.01282063,1
0.012820666,1
0.012831981,1
0.012832323,1
0.0128369015,1
0.012840342,1
0.012852836,1
0.012869848,1
0.012870155,1
0.012881697,1
0.012884596,1
0.012887743,1
0.012892291,1
0.01290464,1
0.01290917,1
0.0129256025,1
0.012928499,1
0.012935073,1
0.01294218,1
0.012945463,1
0.012947277,1
0.0129473265,1
0.01295879,1
0.012961571,1
0.012963523,1
0.012965231,1
0.012966367,1
0.012971637,1
0.012975905,1
0.0129790595,1
0.012981845,1
0.012990688,1
0.012992124,1
0.012994554,1
0.013005934,1
0.013025446,1
0.013025533,1
0.013030166,1
0.013043967,1
0.013046305,1
0.013047449,1
0.013051446,1
0.013057234,1
0.013063512,1
0.013069392,1
0.013082435,1
0.013095368,1
0.0130975405,1
0.013098702,1
0.013099237,1
0.013110511,1
0.013110736,1
0.013112287,1
0.0131200785,1
0.013131921,1
0.013134776,1
0.013142156,1
0.013148085,1
0.013152236,1
0.013155734,1
0.013158169,1
0.013162474,1
0.013163228,1
0.013171728,1
0.013173361,1
0.01317345,1
0.013181215,1
0.013182798,1
0.01318383,1
0.013187802,1
0.013192044,1
0.0132156005,1
0.0132269105,1
0.013227276,1
0.013235352,1
0.013241563,1
0.013243394,1
0.01324515,1
0.01324899,1
0.013253881,1
0.013274093,1
0.013291573,1
0.013293615,1
0.013296048,1
0.013297037,1
0.0132984705,1
0.013302072,1
0.013311437,1
0.013317748,1
0.013319627,1
0.013321712,1
0.013321838,1
0.013322982,1
0.013325103,1
0.0133287255,1
0.013336621,1
0.013365178,1
0.013383712,1
0.013386454,1
0.013387374,1
0.013387732,1
0.013387884,1
0.013388243,1
0.013388894,1
0.013391371,1
0.013392813,1
0.013398128,1
0.0134007605,1
0.013408659,1
0.013411908,1
0.013417191,1
0.013426778,1
0.013432925,1
0.01344696,1
0.013457312,1
0.013465913,1
0.013471847,1
0.0134728355,1
0.013473878,1
0.013496137,1
0.013497771,1
0.013499406,1
0.013513832,1
0.0135143865,1
0.013514567,1
0.013514993,1
0.013525953,1
0.013530066,1
0.013534545,1
0.013545739,1
0.013548621,1
0.013551619,1
0.01357604,1
0.013577541,1
0.013587864,1
0.013590223,1
0.013590249,1
0.013595253,1
0.013612246,1
0.013616908,1
0.013618572,1
0.0136234155,1
0.013624103,1
0.0136283925,1
0.013632707,1
0.013638338,1
0.013642709,1
0.013646885,1
0.013647537,1
0.013656767,1
0.013658004,1
0.01365859,1
0.013671531,1
0.013681364,1
0.0136828255,1
0.013684378,1
0.013689037,1
0.013689611,1
0.013700426,1
0.013707966,1
0.01371296,1
0.013715917,1
0.01371691,1
0.013733571,1
0.013746178,1
0.013752615,1
0.013753206,1
0.01375428,1
0.013768046,1
0.013778593,1
0.013778633,1
0.013781866,1
0.013792595,1
0.013804964,1
0.0138199795,1
0.013822035,1
0.013826308,1
0.01383248,1
0.013835593,1
0.013836688,1
0.013844474,1
0.013848688,1
0.013849559,1
0.013853152,1
0.013867413,1
0.0138689475,1
0.013876104,1
0.013877243,1
0.013881941,1
0.013885,1
0.013887145,1
0.01388729,1
0.013887555,1
0.013889463,1
0.013890602,1
0.013899732,1
0.013900553,1
0.013900764,1
0.013902939,1
0.013903894,1
0.013904703,1
0.01390587,1
0.013932363,1
0.01393364,1
0.013934929,1
0.013952813,1
0.013956925,1
0.013957445,1
0.01396446,1
0.013966298,1
0.0139706815,1
0.013979943,1
0.013987359,1
0.013990998,1
0.0139962165,1
0.013996871,1
0.0139971115,1
0.013997898,1
0.014003853,1
0.014008609,1
0.014010198,1
0.014017041,1
0.0140205845,1
0.014029746,1
0.014030334,1
0.014031765,1
0.014035687,1
0.014037159,1
0.0140481675,1
0.014059747,1
0.014059786,1
0.014061382,1
0.014066224,1
0.014069215,1
0.014076932,1
0.014079994,1
0.014081161,1
0.014083524,1
0.014087138,1
0.014091209,1
0.014097244,1
0.014097633,1
0.014098412,1
0.014100417,1
0.01410285,1
0.014107264,1
0.014110438,1
0.014111622,1
0.014118984,1
0.01411912,1
0.014122162,1
0.014123132,1
0.014124992,1
0.014127686,1
0.014139871,1
0.014140409,1
0.014149568,1
0.014150242,1
0.014152388,1
0.014159003,1
0.014165364,1
0.0141704045,1
0.014171363,1
0.014175351,1
